url,status,error_message,title,perma_link
https://heliumtrades.com/media-bias/investorplace.com,success,,investorplace.com Media Bias | Helium Trades,https://perma.cc/NG28-XC73
https://heliumtrades.com/media-bias/the-fader,success,,The Fader Media Bias | Helium Trades,https://perma.cc/7YCR-VF5V
https://heliumtrades.com/media-bias/hoover-institution,success,,Hoover Institution Media Bias | Helium Trades,https://perma.cc/RUX8-KQ3J
https://heliumtrades.com/media-bias/the-age,success,,The Age Media Bias | Helium Trades,https://perma.cc/5F32-2YNL
https://heliumtrades.com/media-bias/yardbarker.com,success,,yardbarker.com Media Bias | Helium Trades,https://perma.cc/43JS-9FD6
https://heliumtrades.com/media-bias/the-dispatch,success,,The Dispatch Media Bias | Helium Trades,https://perma.cc/RP32-XHMQ
https://heliumtrades.com/media-bias/post-journal.com,success,,post-journal.com Media Bias | Helium Trades,https://perma.cc/6CLP-2ZS4
https://heliumtrades.com/media-bias/slashdot,success,,Slashdot Media Bias | Helium Trades,https://perma.cc/ACF8-63WF
https://heliumtrades.com/media-bias/timesofindia.indiatimes.com,success,,timesofindia.indiatimes.com Media Bias | Helium Trades,https://perma.cc/ZA74-BHQG
https://heliumtrades.com/media-bias/1945,success,,1945 Media Bias | Helium Trades,https://perma.cc/BQ3W-ZSW8
