url,status,error_message,title,perma_link
https://heliumtrades.com/media-bias/esquire,success,,Esquire Media Bias | Helium Trades,https://perma.cc/GYG4-RV36
https://heliumtrades.com/media-bias/mlive.com,success,,mlive.com Media Bias | Helium Trades,https://perma.cc/HM5C-KBX2
https://heliumtrades.com/media-bias/npr,success,,NPR Media Bias | Helium Trades,https://perma.cc/PX6C-29QB
https://heliumtrades.com/media-bias/lonely-planet,success,,Lonely Planet Media Bias | Helium Trades,https://perma.cc/BL9R-4MZK
https://heliumtrades.com/media-bias/smithsonian,success,,Smithsonian Media Bias | Helium Trades,https://perma.cc/8Z2S-WCA3
https://heliumtrades.com/media-bias/mirror,success,,Mirror Media Bias | Helium Trades,https://perma.cc/ENA5-9S4T
https://heliumtrades.com/media-bias/the-blaze,success,,The Blaze Media Bias | Helium Trades,https://perma.cc/3453-JRJR
https://heliumtrades.com/media-bias/bbc,success,,BBC Media Bias | Helium Trades,https://perma.cc/2XF9-GAP7
https://heliumtrades.com/media-bias/kotaku,success,,Kotaku Media Bias | Helium Trades,https://perma.cc/P6U8-DNFQ
https://heliumtrades.com/media-bias/engadget,success,,Engadget Media Bias | Helium Trades,https://perma.cc/BTP7-LQTH
