url,status,error_message,title,perma_link


































































































https://mediabiasfactcheck.com/world-socialist-web-site/,success,,World Socialist Web Site - Media Bias/Fact Check,https://perma.cc/5WNQ-CU3Z
https://mediabiasfactcheck.com/wtae-pittsburghs-action-news-4,success,,WTAE Pittsburgh's Action News 4 - Media Bias/Fact Check,https://perma.cc/ERK6-RY8J
https://mediabiasfactcheck.com/wtap-parkersburg-news-bias/,success,,WTAP - Parkersburg News - Media Bias/Fact Check,https://perma.cc/ZE2H-PRHW
https://mediabiasfactcheck.com/wthi-terre-haute-news-bias/,success,,WTHI - Terre Haute News - Media Bias/Fact Check,https://perma.cc/B5MJ-CNDU
https://mediabiasfactcheck.com/wthr-indianapolis-news-bias/,success,,WTHR - Indianapolis News - Media Bias/Fact Check,https://perma.cc/N7JN-964X
https://mediabiasfactcheck.com/wtkr-norfolk-news-bias/,success,,WTKR - Norfolk News - Media Bias/Fact Check,https://perma.cc/Y8RJ-VH62
https://mediabiasfactcheck.com/wtnh-new-haven-news-bias/,success,,WTNH - New Haven News - Media Bias/Fact Check,https://perma.cc/6RZN-CJQ9
https://mediabiasfactcheck.com/wtnh-new-haven-news-bias/,success,,WTNH - New Haven News - Media Bias/Fact Check,https://perma.cc/G3FN-NSCV
https://mediabiasfactcheck.com/wgnt-hampton-roads-news-bias/,success,,WGNT - Hampton Roads News - Media Bias/Fact Check,https://perma.cc/8E3S-CFTX
https://mediabiasfactcheck.com/wtoc-savannah-bias/,success,,WTOC - Savannah - Media Bias/Fact Check,https://perma.cc/28PJ-VDD5
https://mediabiasfactcheck.com/wtol-toledo-news-bias/,success,,WTOL - Toledo News - Media Bias/Fact Check,https://perma.cc/T96T-ZXWU
https://mediabiasfactcheck.com/washingtons-top-news-wtop/,success,,Washington's Top News (WTOP) - Media Bias/Fact Check,https://perma.cc/CWU6-WGYS
https://mediabiasfactcheck.com/wtov-steubenville-wheeling/,success,,WTOV Steubenville-Wheeling - Media Bias/Fact Check,https://perma.cc/98N3-LWHZ
https://mediabiasfactcheck.com/wtsp-tampa-bay-news-bias/,success,,WTSP - Tampa Bay News - Media Bias/Fact Check,https://perma.cc/2BR2-KBQ4
https://mediabiasfactcheck.com/wtva-tupelo-news-bias/,success,,WTVA - Tupelo News - Media Bias/Fact Check,https://perma.cc/CUV5-ARJE
https://mediabiasfactcheck.com/wtvm-columbus-news-bias/,success,,WTVM - Columbus News - Media Bias/Fact Check,https://perma.cc/B2N4-GNDG
https://mediabiasfactcheck.com/wtvy-news4/,success,,WTVY News4 - Media Bias/Fact Check,https://perma.cc/Y85Z-ESGR
https://mediabiasfactcheck.com/wtwc-tallahassee-news-bias/,success,,WTWC - Tallahassee News - Media Bias/Fact Check,https://perma.cc/HTV6-L7W2
https://mediabiasfactcheck.com/wusa9-com/,success,,WUSA9.com - Media Bias/Fact Check,https://perma.cc/44GV-KELZ
